序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,老式双低,新式双低,MA20乖离,热门度,转债名称,
244,光大转债,113011,2017-07-18,光大银行,601818,金融,银行行业,114.71,0.45%,-0.56%,3.75,-0.27%,150,0.4%,108.3,3.97,0.60,94.46,21.4%,转股中,2.76年,无权,15.2%,14.4%,300,1968,-2.10%,-2.64%,无权,无权,无权,99.72,9.69,109.40,4.9%,21%,22%,16%,0.44,AAA,3.09%,135.0,35.2,-0.4%,17,光大转债,
253,电气转债!,113008,2015-02-16,上海电气,601727,能源电力,电力设备,108.1,0.06%,-0.34%,4.78,-1.65%,45,0.9%,106.6,5.13,1.14,93.18,16.0%,转股中,0.64年,回售中,6.2%,5.7%,45,724,-2.16%,-4.04%,回售中,回售中,103.00,104.70,1.33,106.02,2.0%,31%,26%,16%,0.17,AAA,2.85%,123.0,18.3,4.1%,29,电气转债!,
124,环境转债,113028,2019-07-08,上海环境,601200,城市公用,三废处理,124.11,0.00%,0.32%,11.95,0.42%,7.5,0.3%,111,10.44,1.65,114.46,8.4%,转股中,5年5.1天,3年5.1天,19.9%,22.7%,22,109,-2.24%,-2.63%,-5.60%,-5.79%,91.23,91.15,33.62,124.78,-0.5%,39%,17%,16%,0.76,AAA,4.09%,133.8,42.5,-1.6%,12,环境转债,
104,太极转债,128078,2019-11-08,太极股份,002368,计算机及,软件开发,132.342,-0.49%,-2.59%,39.86,-3.79%,30,2.3%,117.3,31.61,5.36,126.10,5.0%,转股中,5.36年,3.36年,6.1%,7.7%,10,165,-2.27%,-2.81%,-6.73%,-6.91%,88.78,92.69,43.36,136.04,-2.7%,49%,<2%,16%,0.81,AA,4.59%,138.6,45.9,-2.9%,14,太极转债,
185,顾家转债,113518,2018-10-09,顾家家居,603816,其他,家居用品,126.9,0.43%,-1.51%,43.11,-1.40%,4.8,0.3%,114.9,35.42,4.50,121.71,4.3%,转股中,4.25年,2.25年,4.2%,5.1%,11,259,-2.36%,-2.96%,-8.21%,-8.44%,93.57,96.56,35.09,131.65,-3.6%,43%,<2%,16%,0.78,AA,4.27%,132.1,35.5,-4.6%,12,顾家转债,
15,长集转债,128105,2020-05-13,长青集团,002616,城市公用,三废处理,132.2,-0.13%,-1.18%,10.78,-1.55%,19,1.8%,115.3,8.11,3.25,132.92,-0.5%,4月4天,5.82年,3.82年,10.0%,13.3%,8.0,80,-2.36%,-2.81%,-5.93%,-6.10%,86.93,89.23,53.10,142.33,-7.1%,36%,<2%,17%,0.85,AA,4.59%,131.5,42.2,6.5%,5,长集转债,
252,XD航信转!!,110031,2015-06-30,航天信息,600271,计算机及,软件开发,109.62,0.10%,-0.12%,16.38,-0.67%,4.7,0.2%,108.5,21.79,2.75,75.17,45.8%,转股中,0.997年,回售中,7.9%,5.9%,24,305,-2.40%,-3.68%,回售中,回售中,100.23,104.04,0.17,104.22,5.2%,40%,46%,17%,0.02,AAA,2.85%,144.1,40.0,-0.5%,16,XD航信转!!,
131,一心转债,128067,2019-05-17,一心堂,002727,医药,医药商业,127.4,0.28%,2.43%,30.55,3.63%,26,3.4%,112.9,26.83,3.70,113.87,11.9%,转股中,4.85年,2.85年,3.4%,3.9%,6.0,175,-2.50%,-2.97%,-6.74%,-6.93%,91.25,92.54,32.55,125.09,1.8%,40%,24%,16%,0.75,AA,4.27%,140.9,48.4,3.0%,21,一心转债,
97,石英转债!,113548,2019-11-22,石英股份,603688,电子,电子行业,142.65,-1.91%,-1.41%,21.28,-3.32%,36,8.9%,124.8,15.10,4.75,140.93,1.2%,转股中,5.38年,3.38年,3.9%,5.5%,2.9,72,-2.51%,-3.24%,-8.45%,-8.67%,86.58,93.80,47.13,140.93,1.2%,50%,<2%,17%,1.00,AA-,5.59%,144.4,50.6,-4.1%,12,石英转债!,
84,先导转债,123036,2020-01-10,先导智能,300450,机械装备,专用设备,132.7,0.41%,-0.74%,46.8,-0.43%,22,1.7%,115.1,39.15,10.14,119.54,11.0%,4.1天,5.50年,3.50年,2.4%,2.9%,10,413,-2.60%,-3.07%,-6.59%,-6.76%,88.03,90.35,39.61,129.97,2.1%,65%,19%,16%,0.79,AA,4.59%,145.9,55.5,10.9%,20,先导转债,
237,金禾转债!,128017,2017-11-27,金禾实业,002597,石油天然,化工,120.01,0.27%,-0.32%,22.26,-0.09%,0.6,0.1%,109.8,22.42,2.98,99.29,20.9%,转股中,3.39年,1.39年,4.8%,4.8%,6.0,124,-2.64%,-3.15%,-9.70%,-9.98%,96.16,95.57,17.47,113.04,6.2%,35%,28%,17%,0.57,AA,4.27%,140.7,44.6,0.7%,12,金禾转债!,
57,璞泰转债!,113562,2020-02-04,璞泰来,603659,电子,元器件制,128.02,-0.21%,-2.85%,91.38,-4.36%,37,3.3%,113.3,82.73,11.34,110.46,15.9%,25天,4.56年,2.56年,2.2%,2.4%,8.7,398,-2.67%,-3.18%,-8.03%,-8.15%,91.12,93.86,27.55,121.41,5.4%,52%,21%,16%,0.70,AA,4.27%,145.6,51.7,4.2%,18,璞泰转债!,
26,海大转债,128102,2020-04-16,海大集团,002311,农业,畜牧业,134,2.07%,1.49%,46.58,4.16%,268,7.2%,114.1,34.74,7.82,134.08,-0.1%,3月14天,5.76年,4.76年,3.8%,5.2%,28,736,-2.78%,-3.20%,-4.98%,-5.13%,85.88,90.85,50.78,141.63,-5.4%,34%,<2%,16%,0.86,AA+,4.09%,133.9,43.1,-0.4%,13,海大转债,
2,健友转债,113579,2020-05-22,健友股份,603707,医药,原料药,135.3,0.09%,0.16%,62.6,0.32%,11,1.7%,114.2,54.97,14.16,113.88,18.8%,4月19天,5.86年,3.86年,1.1%,1.3%,5.0,450,-2.90%,-3.31%,-6.44%,-6.60%,86.69,88.21,37.04,125.25,8.0%,54%,29%,16%,0.77,AA,4.59%,156.7,68.5,1.5%,5,健友转债,
250,九州转债!,110034,2016-01-29,九州通,600998,医药,医药商业,114.85,0.75%,-0.73%,17.91,0.06%,4.0,0.2%,109.6,18.32,1.96,97.76,17.5%,转股中,1.59年,回售中,4.5%,4.4%,15,336,-2.92%,-4.00%,回售中,回售中,103.00,103.67,6.06,109.73,4.7%,28%,26%,15%,0.38,AA+,3.59%,131.9,28.3,0.9%,29,九州转债!,
180,科森转债!!,113521,2018-12-07,科森科技,603626,通信互联,通信设备,131.18,-3.54%,0.46%,11.34,-3.82%,42,21.0%,115.2,8.70,2.63,130.34,0.6%,转股中,4.43年,2.43年,2.8%,3.7%,1.5,54,-2.95%,-3.53%,-8.81%,-9.03%,93.00,96.12,44.48,140.60,-6.7%,58%,<2%,18%,0.81,AA,4.27%,132.0,35.9,-1.7%,29,科森转债!!,
55,乐普转债,123040,2020-01-23,乐普医疗,300003,医药,医疗器械,127.3,0.24%,0.84%,34.85,1.60%,20,2.1%,111.1,32.39,7.95,107.59,18.3%,26天,4.56年,2.56年,1.2%,1.3%,7.5,621,-2.97%,-3.40%,-7.83%,-7.96%,92.31,94.04,24.73,118.77,7.2%,42%,29%,16%,0.67,AA+,3.77%,147.0,53.0,-4.7%,20,乐普转债,
155,视源转债,128059,2019-04-02,视源股份,002841,电子,液晶显示,132.001,2.37%,-1.27%,94.92,1.35%,26,2.1%,113.9,74.97,12.66,126.61,4.3%,转股中,4.74年,2.74年,1.5%,1.9%,9.4,622,-3.12%,-3.62%,-8.12%,-8.31%,91.66,93.77,41.99,135.76,-2.8%,47%,<2%,16%,0.82,AA,4.27%,137.4,43.6,9.9%,13,视源转债,
53,博威转债,113031,2020-02-17,博威合金,601137,有色金属,铜金属,128.8,-0.26%,-1.29%,13.89,-1.91%,13,0.8%,111.3,11.29,2.39,123.03,4.7%,33天,4.58年,3.58年,12.6%,15.5%,12,95,-3.17%,-3.60%,-5.69%,-5.86%,88.71,92.12,38.82,130.95,-1.6%,40%,12%,16%,0.82,AA,4.27%,134.6,42.4,0.8%,16,博威转债,
52,东财转2,123041,2020-02-14,东方财富,300059,金融,证券行业,132.309,1.18%,0.44%,16.13,2.02%,252,2.6%,110.5,13.13,4.90,122.85,7.7%,34天,5.59年,3.59年,5.6%,6.9%,73,1300,-3.21%,-3.54%,-6.67%,-6.78%,88.05,88.57,43.54,132.12,0.1%,48%,20%,18%,0.80,AA+,4.09%,141.8,53.2,3.5%,39,东财转2,
212,玲珑转债!,113019,2018-03-22,玲珑轮胎,601966,汽车,零部件制,123.8,0.49%,-0.77%,19.96,-0.45%,10,0.4%,112.5,18.12,2.14,110.15,12.4%,转股中,2.72年,0.72年,8.3%,9.2%,20,240,-3.50%,-4.30%,-21.0%,-21.2%,98.15,102.34,17.74,120.08,3.1%,32%,22%,16%,0.62,AA+,3.59%,137.4,35.1,2.4%,10,玲珑转债!,
90,顺丰转债,128080,2019-12-09,顺丰控股,002352,交通运输,物流业,134.2,1.88%,-1.37%,53.29,0.59%,352,4.6%,109.2,40.14,5.49,132.76,1.1%,转股中,5.43年,3.43年,2.5%,3.3%,58,2352,-3.76%,-4.06%,-7.33%,-7.43%,90.09,90.37,48.55,138.92,-3.4%,29%,<2%,16%,0.86,AAA,3.59%,135.6,45.3,11.8%,24,顺丰转债,
65,深南转债,128088,2020-01-16,深南电路,002916,电子,元器件制,142.39,-0.01%,-0.40%,152.72,-0.45%,127,5.9%,115.1,105.79,10.19,144.36,-1.4%,17天,5.53年,3.53年,2.1%,3.0%,15,726,-3.83%,-4.29%,-8.31%,-8.47%,87.89,90.21,61.50,151.71,-6.1%,65%,<2%,16%,0.90,AA,4.59%,140.4,50.2,-4.6%,35,深南转债,
105,华夏转债,128077,2019-11-07,华夏航空,002928,交通运输,航空运输,148.34,1.46%,-0.02%,15.67,1.62%,376,55.6%,120.8,10.52,3.80,148.95,-0.4%,转股中,5.34年,3.34年,5.0%,7.4%,4.7,94,-3.84%,-4.47%,-9.70%,-9.88%,86.26,90.93,67.36,158.29,-6.3%,56%,<2%,18%,0.89,AA-,5.59%,147.7,56.8,12.5%,24,华夏转债,
54,希望转债,127015,2020-02-04,新 希 望,000876,农业,畜牧业,137.5,1.48%,0.39%,27.47,2.12%,231,4.3%,110.2,19.78,4.18,138.88,-1.0%,26天,5.56年,3.56年,3.5%,4.8%,40,1158,-3.96%,-4.27%,-7.54%,-7.67%,90.28,90.84,54.56,145.40,-5.4%,40%,<2%,16%,0.88,AAA,3.59%,136.1,45.3,-3.6%,34,希望转债,
30,博特转债,113571,2020-04-01,苏博特,603916,建筑,水泥,151.87,-0.93%,-0.22%,30.12,-1.25%,39,3.7%,120.8,18.88,3.83,159.53,-4.8%,3月7天,5.75年,3.75年,7.5%,11.9%,7.0,94,-3.98%,-4.56%,-9.28%,-9.45%,84.38,88.96,78.52,167.48,-9.3%,49%,<2%,17%,0.92,AA-,5.59%,144.2,55.2,11.3%,17,博特转债,
73,新莱转债,123037,2020-01-22,新莱应材,300260,机械装备,通用设备,147.63,-1.38%,0.29%,16.91,-1.17%,261,63.8%,118.2,11.18,4.31,151.25,-2.4%,16天,5.52年,3.52年,8.2%,12.4%,2.8,34,-4.03%,-4.57%,-9.06%,-9.25%,80.87,80.92,78.81,159.73,-7.6%,66%,<2%,17%,0.93,A+,7.29%,144.0,63.1,-6.2%,16,新莱转债,
95,通光转债!,123034,2019-11-28,通光线缆,300265,通信互联,通信设备,147.999,-0.67%,-0.39%,10.24,-1.06%,179,73.7%,118.5,7.98,3.41,128.32,15.3%,转股中,5.39年,3.39年,4.6%,5.9%,1.7,36,-4.11%,-4.67%,-9.53%,-9.71%,81.21,81.76,46.56,128.32,15.3%,57%,>100%,17%,1.00,A+,7.29%,167.7,85.9,-12.2%,29,通光转债!,
211,艾华转债!,113504,2018-03-23,艾华集团,603989,电子,元器件制,129.16,-1.47%,-0.17%,27.01,-1.96%,9.5,1.1%,110.3,21.43,4.83,126.04,2.5%,转股中,3.72年,1.72年,6.4%,8.1%,6.8,105,-4.23%,-4.71%,-11.5%,-11.7%,95.07,94.70,38.83,133.53,-3.3%,41%,<2%,16%,0.84,AA,4.27%,132.3,37.2,-2.2%,10,艾华转债!,
89,福特转债,113551,2019-12-11,福斯特,603806,能源电力,太阳能,145.25,0.52%,0.48%,42.28,1.12%,89,7.4%,115.3,28.92,3.43,146.20,-0.6%,转股中,5.43年,3.43年,2.7%,4.0%,8.4,309,-4.24%,-4.70%,-8.99%,-9.17%,88.48,90.80,63.30,154.10,-5.7%,46%,<2%,17%,0.89,AA,4.59%,144.3,53.5,8.5%,11,福特转债,
188,蓝盾转债!!,123015,2018-09-13,蓝盾股份,300297,计算机及,软件开发,136.399,-0.04%,0.68%,3.95,4.50%,520,388%,112.9,5.79,1.30,68.22,99.9%,转股中,4.17年,2.17年,2.0%,1.4%,1.0,49,-4.52%,-5.04%,-11.2%,-11.5%,93.89,95.21,0.83,96.04,42.0%,44%,>100%,16%,0.14,AA,4.27%,204.6,109.4,6.7%,19,蓝盾转债!!,
145,精测转债!!,123025,2019-04-19,精测电子,300567,电子,液晶显示,147.551,1.69%,-0.01%,72.13,1.68%,415,93.2%,117.3,49.95,12.68,144.40,2.2%,转股中,4.79年,2.79年,1.7%,2.5%,3.1,177,-4.76%,-5.35%,-11.2%,-11.4%,89.17,92.18,52.23,144.40,2.2%,73%,97%,17%,1.00,AA-,5.27%,150.7,58.5,2.9%,21,精测转债!!,
167,联泰转债!,113526,2019-02-18,联泰环保,603797,城市公用,三废处理,141.35,-1.74%,1.16%,11.83,-0.59%,71,24.3%,110.8,8.72,2.59,135.67,4.2%,转股中,4.61年,2.61年,5.5%,7.4%,2.1,38,-5.23%,-5.62%,-10.6%,-10.8%,92.06,91.71,43.96,135.67,4.2%,46%,>100%,18%,1.00,AA,4.27%,147.0,55.0,5.3%,9,联泰转债!,
224,赣锋转债!,128028,2018-01-19,赣锋锂业,002460,有色金属,小金属,133.301,-0.13%,-1.93%,50.26,-2.65%,31,2.6%,109.3,42.28,7.90,118.87,12.1%,转股中,3.52年,1.52年,1.4%,1.7%,9.2,650,-5.56%,-6.01%,-12.7%,-12.9%,95.13,94.55,32.57,127.12,4.9%,58%,25%,17%,0.78,AA,4.27%,147.7,52.6,0.6%,15,赣锋转债!,
223,太阳转债!,128029,2018-01-16,太阳纸业,002078,造纸包装,造纸行业,125.6,-0.70%,-0.17%,9.19,-1.39%,0.6,0.0%,107.8,8.65,1.59,106.24,18.2%,转股中,2.53年,0.53年,5.0%,5.3%,12,238,-5.92%,-6.46%,-29.3%,-29.6%,98.53,98.70,16.37,115.07,9.2%,39%,34%,16%,0.62,AA+,3.59%,145.0,46.3,5.0%,8,太阳转债!,
191,凯发转债!,123014,2018-08-21,凯发电气,300407,能源电力,电力设备,133.676,-0.39%,-0.74%,7.93,-1.86%,87,56.7%,109.1,8.14,1.90,97.42,37.2%,转股中,3年44天,1年44天,4.8%,4.7%,1.2,24,-6.39%,-6.88%,-17.9%,-18.1%,93.44,88.72,21.62,110.34,21.1%,47%,51%,18%,0.61,A+,6.97%,169.9,76.5,-0.7%,15,凯发转债!,
169,溢利转债!,123018,2019-01-23,溢多利,300381,医药,原料药,155.101,-0.51%,0.51%,13.03,0.00%,238,93.3%,114.9,8.35,2.31,156.05,-0.6%,转股中,4.52年,2.52年,2.8%,4.4%,1.7,59,-6.53%,-7.06%,-14.0%,-14.1%,90.20,91.52,64.52,156.05,-0.6%,39%,<2%,17%,1.00,AA-,5.27%,154.2,62.6,9.3%,13,溢利转债!,
59,新天转债,128091,2020-01-17,新天药业,002873,医药,中药,175,-0.60%,0.29%,19.04,-0.37%,1157,377%,120,16.49,3.15,115.46,51.6%,23天,5.55年,3.55年,7.9%,9.2%,1.8,22,-6.72%,-7.27%,-12.5%,-12.7%,81.24,82.08,46.55,128.63,36.1%,59%,72%,16%,0.83,A+,7.29%,234.5,152.5,5.6%,18,新天转债,
206,金农转债!!,128036,2018-04-02,金新农,002548,农业,畜牧业,144.35,-1.61%,1.23%,9.07,-0.66%,209,100%,110.3,9.62,2.10,94.28,53.1%,转股中,3.74年,1.74年,3.7%,3.5%,1.5,39,-7.06%,-7.51%,-13.5%,-13.7%,93.29,91.37,16.54,107.92,33.8%,46%,74%,17%,0.57,AA-,5.27%,194.4,101.1,-3.4%,17,金农转债!!,
151,长信转债!!,123022,2019-04-10,长信科技,300088,通信互联,通信设备,167.925,-0.16%,-1.05%,9.77,-1.31%,7.5,1.3%,114.9,6.25,3.67,156.32,7.4%,转股中,4.76年,2.76年,1.5%,2.3%,3.5,238,-7.78%,-8.27%,-10.1%,-10.2%,91.59,94.51,68.13,162.64,3.2%,62%,25%,16%,0.92,AA,4.27%,179.5,85.0,1.7%,12,长信转债!!,
195,威帝转债,113514,2018-08-13,威帝股份,603023,汽车,零部件制,144.04,-5.92%,6.79%,5.01,1.01%,589,421%,111.1,3.99,3.29,125.56,14.7%,转股中,3年37天,1年37天,3.6%,4.5%,1.0,27,-8.14%,-8.72%,-22.5%,-22.7%,93.56,90.46,42.52,132.98,8.3%,50%,50%,18%,0.86,A+,6.97%,162.5,69.0,-8.9%,29,威帝转债,
204,新泉转债!!,113509,2018-06-22,新泉股份,603179,汽车,零部件制,155.72,-3.18%,-0.36%,21.9,-3.82%,101,24.9%,110.3,14.22,3.01,154.01,1.1%,转股中,3.98年,1.98年,4.0%,6.2%,2.6,64,-8.43%,-8.85%,-13.8%,-13.9%,94.05,93.69,65.87,159.55,-2.4%,52%,<2%,17%,0.93,AA,4.27%,157.4,63.4,9.8%,13,新泉转债!!,
182,百合转债!,113520,2018-11-26,梦百合,603313,其他,家居用品,174.5,-2.67%,0.69%,25.05,-2.07%,92,57.8%,115.2,14.28,3.49,175.42,-0.5%,转股中,4.41年,2.41年,1.1%,1.9%,0.9,85,-9.15%,-9.68%,-13.0%,-13.1%,90.86,92.33,88.73,181.07,-3.6%,43%,<2%,16%,0.96,AA-,5.27%,173.6,81.2,1.1%,12,百合转债!,
76,国轩转债,128086,2020-01-10,国轩高科,002074,汽车,零部件制,223.9,-2.43%,-0.76%,30.05,-3.25%,2286,55.3%,115.3,12.19,3.79,246.51,-9.2%,10天,5.51年,3.51年,5.5%,13.4%,19,339,-11.5%,-11.9%,-10.2%,-10.2%,88.16,90.48,160.99,251.47,-11.0%,48%,<2%,16%,0.98,AA,4.59%,201.3,110.8,9.3%,30,国轩转债,
165,尚荣转债!,128053,2019-03-07,尚荣医疗,002551,医药,医疗器械,213.25,8.52%,1.48%,7.59,10.0%,3042,771%,114.9,4.89,2.17,155.21,37.4%,转股中,4.67年,2.67年,3.1%,4.8%,1.9,62,-12.6%,-13.0%,-14.5%,-14.5%,91.92,94.86,60.35,155.22,37.4%,50%,>100%,16%,1.00,AA,4.27%,271.3,176.4,9.3%,32,尚荣转债!,
161,富祥转债!,123020,2019-03-29,富祥药业,300497,医药,原料药,225.42,-2.29%,0.92%,20.91,-1.37%,457,268%,120.5,9.28,3.47,225.32,0.0%,转股中,4.72年,2.72年,0.8%,1.8%,0.8,96,-12.6%,-13.2%,-14.9%,-15.0%,89.70,95.08,130.24,225.32,0.0%,66%,66%,16%,1.00,AA-,5.27%,225.5,130.4,11.3%,20,富祥转债!,
197,盛路转债!!,128041,2018-08-14,盛路通信,002446,通信互联,通信设备,204.3,-3.27%,3.27%,6.89,-0.86%,140,129%,115,6.85,2.21,100.58,103%,转股中,4年34天,2年34天,0.9%,0.9%,0.5,62,-13.3%,-13.8%,-18.9%,-19.0%,94.28,97.29,14.01,111.30,83.6%,57%,>100%,16%,0.00,AA,4.27%,308.0,210.7,-3.3%,12,盛路转债!!,
222,天康转债!!,128030,2018-01-29,天康生物,002100,农业,畜牧业,186.03,-0.57%,0.28%,13.86,-0.29%,293,104%,112.3,8.05,3.00,172.17,8.0%,转股中,3.53年,1.53年,1.0%,1.8%,1.5,148,-13.6%,-14.1%,-24.5%,-24.7%,95.83,97.20,74.97,172.17,8.0%,47%,>100%,16%,1.00,AA,4.27%,199.9,102.7,-5.9%,11,天康转债!!,
189,东音转债!!,128043,2018-08-27,罗欣药业,002793,医药,化学制药,210.7,-0.28%,0.69%,12.5,0.40%,123,79.2%,115.1,6.27,4.71,199.36,5.7%,转股中,4年50天,2年50天,0.4%,0.8%,0.7,181,-13.8%,-14.3%,-19.0%,-19.1%,92.02,93.52,105.85,199.36,5.7%,73%,>100%,17%,1.00,AA-,5.27%,222.0,128.5,-3.5%,12,东音转债!!,
72,振德转债,113555,2020-01-14,振德医疗,603301,医药,医疗器械,292.64,-2.04%,2.24%,42.74,0.21%,2380,180%,124.8,14.01,4.48,305.07,-4.1%,12天,5.52年,3.52年,5.3%,16.0%,4.4,84,-14.5%,-15.1%,-12.4%,-12.4%,85.93,93.10,218.25,311.35,-6.0%,68%,<2%,17%,0.98,AA-,5.59%,280.2,187.1,2.4%,17,振德转债,
201,广电转债!!,110044,2018-07-24,广电网络,600831,传媒娱乐,影视娱乐,212.11,-3.12%,1.77%,7.92,-1.86%,326,216%,112.9,6.90,1.55,114.78,84.8%,转股中,4年14天,2年14天,1.3%,1.4%,0.7,56,-14.7%,-15.1%,-20.3%,-20.4%,94.40,95.73,30.53,126.26,68.0%,51%,>100%,17%,0.73,AA,4.27%,309.4,213.7,0.9%,11,广电转债!!,
112,晶瑞转债!,123031,2019-09-26,晶瑞股份,300655,石油天然,化工,273.7,-1.55%,-0.26%,42.4,-1.81%,287,141%,116.2,18.50,8.00,229.19,19.4%,转股中,5.21年,3.21年,0.9%,2.1%,0.8,80,-15.4%,-15.8%,-13.7%,-13.7%,81.99,81.15,148.03,229.19,19.4%,70%,>100%,18%,1.00,A+,7.29%,318.2,236.2,1.1%,15,晶瑞转债!,
168,凯龙转债!,128052,2019-01-21,凯龙股份,002783,石油天然,化工,307.29,-3.46%,5.59%,9.6,2.13%,353,355%,115,6.77,2.12,141.80,117%,转股中,4.52年,2.52年,0.9%,1.3%,0.3,36,-19.8%,-20.2%,-20.3%,-20.4%,92.60,95.56,46.24,141.80,116.7%,59%,>100%,17%,1.00,AA,4.27%,472.8,377.2,1.7%,13,凯龙转债!,
241,模塑转债!!,127004,2017-08-16,模塑科技,000700,汽车,零部件制,220.497,-7.00%,10.8%,8.26,4.03%,2011,671%,113.3,7.59,2.92,108.83,103%,转股中,2.97年,0.97年,1.8%,1.9%,1.3,76,-20.3%,-20.9%,-46.7%,-46.9%,97.28,100.76,8.15,108.91,102.5%,48%,>100%,17%,0.93,AA,4.09%,332.2,231.4,8.8%,44,模塑转债!!,
193,横河转债!,123013,2018-08-20,横河模具,300539,机械装备,专用设备,299.468,-1.33%,1.33%,6.76,0.00%,194,169%,116,9.22,3.11,73.32,308%,转股中,4年43天,2年43天,2.6%,1.9%,0.4,15,-20.9%,-21.4%,-24.8%,-24.9%,89.51,88.58,9.75,98.33,204.6%,45%,>100%,17%,0.30,A+,6.97%,525.6,436.1,-0.3%,17,横河转债!,
116,英科转债!,123029,2019-09-10,英科医疗,300677,医药,医疗器械,579,11.9%,-1.88%,90.86,10.0%,1457,176%,138.7,16.02,10.42,567.17,2.1%,转股中,5.18年,3.18年,0.7%,4.2%,1.5,200,-24.6%,-25.4%,-18.5%,-18.6%,90.20,105.70,461.47,567.17,2.1%,70%,70%,17%,1.00,AA-,5.59%,590.8,485.1,17.4%,16,英科转债!,
179,特发转债!,127008,2018-12-25,特发信息,000070,通信互联,通信设备,338.5,-2.45%,3.23%,9.13,0.77%,747,366%,111.1,5.61,2.62,162.75,108%,转股中,3.43年,1.43年,0.8%,1.3%,0.6,75,-28.0%,-28.4%,-41.2%,-41.3%,95.32,96.47,66.28,162.75,108.0%,53%,>100%,17%,1.00,AA,4.27%,514.3,417.8,2.2%,16,特发转债!,
